GPU available: True
Carga datasets
	Tiny Shakespeare
	Wikitext-2
Longitud corpus train: 10039821 caracteres
Longitud corpus valid: 1053455 caracteres
Longitud corpus test: 1186126 caracteres
Número total de tokens: 2524860
Número total de tokens: 266679
Preparando DataLoader
Se invoca el modelo
TRAIN
Iteracciones: 39449
  [Batch 100] Loss: 9.3750
  [Batch 200] Loss: 9.3696
  [Batch 300] Loss: 9.3641
  [Batch 400] Loss: 9.3798
  [Batch 500] Loss: 9.3780
  [Batch 600] Loss: 9.3726
  [Batch 700] Loss: 9.3652
  [Batch 800] Loss: 9.3671
  [Batch 900] Loss: 9.3730
  [Batch 1000] Loss: 9.3678
  [Batch 1100] Loss: 9.3692
  [Batch 1200] Loss: 9.3783
  [Batch 1300] Loss: 9.3846
  [Batch 1400] Loss: 9.3755
  [Batch 1500] Loss: 9.3719
  [Batch 1600] Loss: 9.3750
  [Batch 1700] Loss: 9.3702
  [Batch 1800] Loss: 9.3698
  [Batch 1900] Loss: 9.3703
  [Batch 2000] Loss: 9.3623
  [Batch 2100] Loss: 9.3653
  [Batch 2200] Loss: 9.3616
  [Batch 2300] Loss: 9.3710
  [Batch 2400] Loss: 9.3591
  [Batch 2500] Loss: 9.3510
  [Batch 2600] Loss: 9.3663
  [Batch 2700] Loss: 9.3773
  [Batch 2800] Loss: 9.3543
  [Batch 2900] Loss: 9.3635
  [Batch 3000] Loss: 9.3525
  [Batch 3100] Loss: 9.3667
  [Batch 3200] Loss: 9.3658
  [Batch 3300] Loss: 9.3655
  [Batch 3400] Loss: 9.3595
  [Batch 3500] Loss: 9.3614
  [Batch 3600] Loss: 9.3585
  [Batch 3700] Loss: 9.3619
  [Batch 3800] Loss: 9.3540
  [Batch 3900] Loss: 9.3723
  [Batch 4000] Loss: 9.3579
  [Batch 4100] Loss: 9.3526
  [Batch 4200] Loss: 9.3411
  [Batch 4300] Loss: 9.3503
  [Batch 4400] Loss: 9.3541
  [Batch 4500] Loss: 9.3484
  [Batch 4600] Loss: 9.3582
