embedding_dim = 256              
context_len = 128
num_epochs = 20
patience_limit = 10 # Para early stopping
num_layers = 3
num_heads = 8
d_ff = 1024
dropout = 0.3
optimizer = torch.optim.AdamW(model.parameters(), lr=0.0001, betas=(0.9, 0.98), eps=1e-9)
scheduler = LambdaLR(optimizer, lr_lambda) en cada epoch


GPU available: True
Carga datasets
	Tiny Shakespeare
	Wikitext-2
Longitud corpus train: 896135 caracteres
Longitud corpus valid: 100448 caracteres
Longitud corpus test: 111570 caracteres
Tokenización del corpus de train, test y validation
Número total de tokens en el corpus: 273905
Tokenización del corpus de train, test y validation
Número total de tokens en el corpus: 31059
Preparando DataLoader
Se invoca el modelo
TRAIN
Iteracciones: 4278
  [Batch 100] Loss: 9.3812
  [Batch 200] Loss: 9.3750
  [Batch 300] Loss: 9.3881
  [Batch 400] Loss: 9.3724
  [Batch 500] Loss: 9.3762
  [Batch 600] Loss: 9.3702
  [Batch 700] Loss: 9.3671
  [Batch 800] Loss: 9.3717
  [Batch 900] Loss: 9.3680
  [Batch 1000] Loss: 9.3622
  [Batch 1100] Loss: 9.3554
  [Batch 1200] Loss: 9.3663
  [Batch 1300] Loss: 9.3658
  [Batch 1400] Loss: 9.3569
  [Batch 1500] Loss: 9.3633
  [Batch 1600] Loss: 9.3587
  [Batch 1700] Loss: 9.3521
  [Batch 1800] Loss: 9.3498
  [Batch 1900] Loss: 9.3487
  [Batch 2000] Loss: 9.3425
  [Batch 2100] Loss: 9.3487
  [Batch 2200] Loss: 9.3502
  [Batch 2300] Loss: 9.3515
  [Batch 2400] Loss: 9.3476
  [Batch 2500] Loss: 9.3506
  [Batch 2600] Loss: 9.3427
  [Batch 2700] Loss: 9.3423
  [Batch 2800] Loss: 9.3272
  [Batch 2900] Loss: 9.3458
  [Batch 3000] Loss: 9.3334
  [Batch 3100] Loss: 9.3400
  [Batch 3200] Loss: 9.3326
  [Batch 3300] Loss: 9.3318
  [Batch 3400] Loss: 9.3255
  [Batch 3500] Loss: 9.3224
  [Batch 3600] Loss: 9.3200
  [Batch 3700] Loss: 9.3245
  [Batch 3800] Loss: 9.3228
  [Batch 3900] Loss: 9.3112
  [Batch 4000] Loss: 9.3107
  [Batch 4100] Loss: 9.3169
  [Batch 4200] Loss: 9.3218
[Epoch 1] Train Loss: 9.3486 | Train PPL: 11482.22 | Val PPL: 11026.96
Iteracciones: 4278
  [Batch 100] Loss: 9.3001
  [Batch 200] Loss: 9.3077
  [Batch 300] Loss: 9.2954
  [Batch 400] Loss: 9.3095
  [Batch 500] Loss: 9.3082
  [Batch 600] Loss: 9.2993
  [Batch 700] Loss: 9.3076
  [Batch 800] Loss: 9.2920
  [Batch 900] Loss: 9.2717
  [Batch 1000] Loss: 9.2808
  [Batch 1100] Loss: 9.2841
  [Batch 1200] Loss: 9.2714
  [Batch 1300] Loss: 9.2734
  [Batch 1400] Loss: 9.2683
  [Batch 1500] Loss: 9.2644
  [Batch 1600] Loss: 9.2662
  [Batch 1700] Loss: 9.2668
  [Batch 1800] Loss: 9.2546
  [Batch 1900] Loss: 9.2548
  [Batch 2000] Loss: 9.2539
  [Batch 2100] Loss: 9.2598
  [Batch 2200] Loss: 9.2430
  [Batch 2300] Loss: 9.2414
  [Batch 2400] Loss: 9.2412
  [Batch 2500] Loss: 9.2236
  [Batch 2600] Loss: 9.2318
