GPU available: True
Carga datasets
	Tiny Shakespeare
	Wikitext-2
Longitud corpus train: 896135 caracteres
Longitud corpus valid: 100448 caracteres
Longitud corpus test: 111570 caracteres
Tokenización del corpus de train, test y validation
Número total de tokens en el corpus: 279585
Tokenización del corpus de train, test y validation
Número total de tokens en el corpus: 31654
Preparando DataLoader
Se invoca el modelo
TRAIN
Iteracciones: 4367
  [Batch 100] Loss: 9.1619
  [Batch 200] Loss: 9.1332
  [Batch 300] Loss: 9.1411
  [Batch 400] Loss: 9.1348
  [Batch 500] Loss: 9.1371
  [Batch 600] Loss: 9.1332
  [Batch 700] Loss: 9.1332
  [Batch 800] Loss: 9.1316
  [Batch 900] Loss: 9.1403
  [Batch 1000] Loss: 9.1357
  [Batch 1100] Loss: 9.1342
  [Batch 1200] Loss: 9.1291
  [Batch 1300] Loss: 9.1269
  [Batch 1400] Loss: 9.1373
  [Batch 1500] Loss: 9.1139
  [Batch 1600] Loss: 9.1224
  [Batch 1700] Loss: 9.1183
  [Batch 1800] Loss: 9.1181
  [Batch 1900] Loss: 9.1184
  [Batch 2000] Loss: 9.1154
  [Batch 2100] Loss: 9.1097
  [Batch 2200] Loss: 9.1138
  [Batch 2300] Loss: 9.1047
  [Batch 2400] Loss: 9.1216
  [Batch 2500] Loss: 9.1106
  [Batch 2600] Loss: 9.1085
  [Batch 2700] Loss: 9.1119
  [Batch 2800] Loss: 9.1047
  [Batch 2900] Loss: 9.1030
  [Batch 3000] Loss: 9.1112
  [Batch 3100] Loss: 9.0983
  [Batch 3200] Loss: 9.1026
  [Batch 3300] Loss: 9.0998
  [Batch 3400] Loss: 9.0915
  [Batch 3500] Loss: 9.0838
  [Batch 3600] Loss: 9.0938
  [Batch 3700] Loss: 9.0845
  [Batch 3800] Loss: 9.0979
  [Batch 3900] Loss: 9.0924
  [Batch 4000] Loss: 9.0864
  [Batch 4100] Loss: 9.0750
  [Batch 4200] Loss: 9.0820
  [Batch 4300] Loss: 9.0796
[Epoch 1] Train Loss: 9.1139 | Train PPL: 9080.76 | Val PPL: 8804.36
Iteracciones: 4367
  [Batch 100] Loss: 9.0790
